VTX, IDX, _input0.x, _input0.y, _input0.z, _input0.w, _input1.x, _input1.y, _input1.z, _input1.w, _input2.x, _input2.y, _input3.x, _input3.y
43, 29, -0.48291, -0.07678,  0.19751,  1.00,  0.45669,  0.0315, -0.88976,  0.00, -0.48828,  0.1969,  0.87256,  0.01
44, 30, -0.52539,  0.2113,  0.18481,  1.00,  0.45669,  0.07087, -0.88976,  0.00, -0.48828,  0.1969,  0.87256,  0.21313
45, 28, -0.48682,  0.21411,  0.20483,  1.00,  0.45669,  0.06299, -0.88976,  0.00, -0.48828,  0.1969,  0.87256,  0.21313
46, 30, -0.52539,  0.2113,  0.18481,  1.00,  0.45669,  0.07087, -0.88976,  0.00, -0.48828,  0.1969,  0.87256,  0.21313
47, 31, -0.52979,  0.31934,  0.20459,  1.00,  0.44094,  0.1811, -0.88189,  0.00, -0.48828,  0.1969,  0.87256,  0.32056
48, 32, -0.24207,  0.34619, -0.51709,  1.00,  0.03937,  0.06299, -1.00,  0.00, -0.26831, -0.52832,  0.01686,  0.3457
49, 33, -0.26685, -0.12457, -0.53125,  1.00,  0.03937,  0.0315, -1.00,  0.00, -0.26831, -0.52832,  0.01686,  0.01
50, 34, -0.30493,  0.34668, -0.51953,  1.00,  0.03937,  0.07087, -1.00,  0.00, -0.26831, -0.52832,  0.01686,  0.3457
51, 32, -0.24207,  0.34619, -0.51709,  1.00,  0.03937,  0.06299, -1.00,  0.00, -0.26831, -0.52832,  0.01686,  0.3457
52, 34, -0.30493,  0.34668, -0.51953,  1.00,  0.03937,  0.07087, -1.00,  0.00, -0.26831, -0.52832,  0.01686,  0.3457
53, 35, -0.29614,  0.52148, -0.48657,  1.00,  0.03937,  0.1811, -0.98425,  0.00, -0.26831, -0.52832,  0.01686,  0.51953
54, 36, -0.52539,  0.396, -0.22559,  1.00,  0.10236,  0.07874, -0.99213,  0.00, -0.56641, -0.25195,  0.48267,  0.39722
55, 37, -0.56885, -0.14319, -0.25879,  1.00,  0.10236,  0.05512, -0.99213,  0.00, -0.56641, -0.25195,  0.48267,  0.01
56, 38, -0.58936,  0.39697, -0.23206,  1.00,  0.10236,  0.07874, -0.99213,  0.00, -0.56641, -0.25195,  0.48267,  0.39722
57, 36, -0.52539,  0.396, -0.22559,  1.00,  0.10236,  0.07874, -0.99213,  0.00, -0.56641, -0.25195,  0.48267,  0.39722
58, 38, -0.58936,  0.39697, -0.23206,  1.00,  0.10236,  0.07874, -0.99213,  0.00, -0.56641, -0.25195,  0.48267,  0.39722
59, 39, -0.56396,  0.59521, -0.19727,  1.00,  0.10236,  0.15748, -0.98425,  0.00, -0.56641, -0.25195,  0.48267,  0.59766
60, 40,  0.37598,  0.24744,  0.5791,  1.00, -0.19685,  0.07087,  0.97638,  0.00,  0.37842,  0.5874,  0.31421,  0.24622
61, 41,  0.37158, -0.08875,  0.58838,  1.00, -0.20472,  0.0315,  0.97638,  0.00,  0.37842,  0.5874,  0.31421,  0.01
62, 42,  0.42578,  0.24548,  0.58936,  1.00, -0.19685,  0.08661,  0.97638,  0.00,  0.37842,  0.5874,  0.31421,  0.24622
63, 40,  0.37598,  0.24744,  0.5791,  1.00, -0.19685,  0.07087,  0.97638,  0.00,  0.37842,  0.5874,  0.31421,  0.24622
64, 42,  0.42578,  0.24548,  0.58936,  1.00, -0.19685,  0.08661,  0.97638,  0.00,  0.37842,  0.5874,  0.31421,  0.24622
65, 43,  0.43579,  0.37061,  0.56396,  1.00, -0.18898,  0.2126,  0.96063,  0.00,  0.37842,  0.5874,  0.31421,  0.37036
66, 44, -0.01221,  0.26855, -0.27808,  1.00, -0.37008,  0.07874, -0.92126,  0.00, -0.01779, -0.28809,  0.86914,  0.26733
67, 45, -0.0117, -0.09637, -0.29419,  1.00, -0.37008,  0.03937, -0.92913,  0.00, -0.01779, -0.28809,  0.86914,  0.01
68, 46, -0.06384,  0.26538, -0.25757,  1.00, -0.37008,  0.09449, -0.92126,  0.00, -0.01779, -0.28809,  0.86914,  0.26733
69, 44, -0.01221,  0.26855, -0.27808,  1.00, -0.37008,  0.07874, -0.92126,  0.00, -0.01779, -0.28809,  0.86914,  0.26733
70, 46, -0.06384,  0.26538, -0.25757,  1.00, -0.37008,  0.09449, -0.92126,  0.00, -0.01779, -0.28809,  0.86914,  0.26733
71, 47, -0.0567,  0.40088, -0.22742,  1.00, -0.37008,  0.22047, -0.90551,  0.00, -0.01779, -0.28809,  0.86914,  0.4021
72, 48, -0.29883,  0.37183,  0.56592,  1.00,  0.92126,  0.11024,  0.3622,  0.00, -0.25488,  0.54346,  0.32837,  0.37402
73, 49, -0.24463, -0.13464,  0.54395,  1.00,  0.92913,  0.08661,  0.3622,  0.00, -0.25488,  0.54346,  0.32837,  0.01
74, 50, -0.28052,  0.3728,  0.51953,  1.00,  0.92126,  0.11024,  0.3622,  0.00, -0.25488,  0.54346,  0.32837,  0.37402
75, 48, -0.29883,  0.37183,  0.56592,  1.00,  0.92126,  0.11024,  0.3622,  0.00, -0.25488,  0.54346,  0.32837,  0.37402
76, 50, -0.28052,  0.3728,  0.51953,  1.00,  0.92126,  0.11024,  0.3622,  0.00, -0.25488,  0.54346,  0.32837,  0.37402
77, 51, -0.3208,  0.55859,  0.52393,  1.00,  0.91339,  0.18898,  0.3622,  0.00, -0.25488,  0.54346,  0.32837,  0.5625
78, 52, -0.5752,  0.1698, -0.15735,  1.00, -0.67717,  0.11024,  0.72441,  0.00, -0.56445, -0.13293,  0.37256,  0.16931
79, 53, -0.56738, -0.06107, -0.13159,  1.00, -0.67717,  0.05512,  0.73228,  0.00, -0.56445, -0.13293,  0.37256,  0.01
80, 54, -0.53223,  0.16956, -0.11743,  1.00, -0.67717,  0.11024,  0.72441,  0.00, -0.56445, -0.13293,  0.37256,  0.16931
81, 52, -0.5752,  0.1698, -0.15735,  1.00, -0.67717,  0.11024,  0.72441,  0.00, -0.56445, -0.13293,  0.37256,  0.16931
82, 54, -0.53223,  0.16956, -0.11743,  1.00, -0.67717,  0.11024,  0.72441,  0.00, -0.56445, -0.13293,  0.37256,  0.16931
83, 55, -0.53076,  0.25513, -0.14807,  1.00, -0.65354,  0.26772,  0.70866,  0.00, -0.56445, -0.13293,  0.37256,  0.25464
84, 56, -0.19666, -0.02559,  0.48926,  1.00,  0.28346,  0.05512,  0.96063,  0.00, -0.17004,  0.47632,  0.35449,  0.01
85, 57, -0.14868, -0.02661,  0.47485,  1.00,  0.30709,  0.05512,  0.95276,  0.00, -0.17004,  0.47632,  0.35449,  0.01
86, 58, -0.18262,  0.45996,  0.45898,  1.00,  0.80315,  0.07874,  0.59055,  0.00, -0.17004,  0.47632,  0.35449,  0.45068
87, 58, -0.18262,  0.45996,  0.45898,  1.00,  0.80315,  0.07874,  0.59055,  0.00, -0.17004,  0.47632,  0.35449,  0.45068
88, 57, -0.14868, -0.02661,  0.47485,  1.00,  0.30709,  0.05512,  0.95276,  0.00, -0.17004,  0.47632,  0.35449,  0.01
89, 59, -0.16638,  0.52051,  0.427,  1.00,  0.82677,  0.07874,  0.55906,  0.00, -0.17004,  0.47632,  0.35449,  0.52246
90, 60,  0.46289,  0.37598,  0.38379,  1.00, -0.59843,  0.08661,  0.79528,  0.00,  0.45459,  0.40405,  0.01482,  0.37524
91, 61,  0.4436, -0.13525,  0.40356,  1.00, -0.59843,  0.05512,  0.79528,  0.00,  0.45459,  0.40405,  0.01482,  0.01
92, 62,  0.51855,  0.37134,  0.42627,  1.00, -0.59843,  0.09449,  0.79528,  0.00,  0.45459,  0.40405,  0.01482,  0.37524
93, 60,  0.46289,  0.37598,  0.38379,  1.00, -0.59843,  0.08661,  0.79528,  0.00,  0.45459,  0.40405,  0.01482,  0.37524
94, 62,  0.51855,  0.37134,  0.42627,  1.00, -0.59843,  0.09449,  0.79528,  0.00,  0.45459,  0.40405,  0.01482,  0.37524
95, 63,  0.53564,  0.56055,  0.39258,  1.00, -0.58268,  0.18898,  0.7874,  0.00,  0.45459,  0.40405,  0.01482,  0.56396
96, 64,  0.12915,  0.24976, -0.06274,  1.00,  0.86614,  0.12598,  0.48031,  0.00,  0.14648, -0.05215,  0.24963,  0.24939
97, 65,  0.14746, -0.0899, -0.0415,  1.00,  0.86614,  0.07874,  0.48819,  0.00,  0.14648, -0.05215,  0.24963,  0.01
98, 66,  0.15735,  0.24634, -0.11237,  1.00,  0.86614,  0.13386,  0.48031,  0.00,  0.14648, -0.05215,  0.24963,  0.24939
99, 64,  0.12915,  0.24976, -0.06274,  1.00,  0.86614,  0.12598,  0.48031,  0.00,  0.14648, -0.05215,  0.24963,  0.24939
100, 66,  0.15735,  0.24634, -0.11237,  1.00,  0.86614,  0.13386,  0.48031,  0.00,  0.14648, -0.05215,  0.24963,  0.24939
101, 67,  0.12964,  0.37183, -0.13647,  1.00,  0.84252,  0.27559,  0.45669,  0.00,  0.14648, -0.05215,  0.24963,  0.375
102, 68, -0.18408,  0.23584,  0.12482,  1.00, -0.07874,  0.08661, -0.99213,  0.00, -0.20605,  0.11609,  0.78369,  0.23523
103, 69, -0.20422, -0.08484,  0.11279,  1.00, -0.07874,  0.03937, -1.00,  0.00, -0.20605,  0.11609,  0.78369,  0.01
104, 70, -0.24011,  0.23584,  0.12915,  1.00, -0.07874,  0.09449, -0.99213,  0.00, -0.20605,  0.11609,  0.78369,  0.23523
105, 68, -0.18408,  0.23584,  0.12482,  1.00, -0.07874,  0.08661, -0.99213,  0.00, -0.20605,  0.11609,  0.78369,  0.23523
106, 70, -0.24011,  0.23584,  0.12915,  1.00, -0.07874,  0.09449, -0.99213,  0.00, -0.20605,  0.11609,  0.78369,  0.23523
107, 71, -0.2262,  0.35498,  0.15576,  1.00, -0.07087,  0.22835, -0.9685,  0.00, -0.20605,  0.11609,  0.78369,  0.35376
108, 72,  0.12964,  0.3606,  0.59766,  1.00, -0.51969,  0.10236, -0.85039,  0.00,  0.08447,  0.5918,  0.42871,  0.3623
109, 73,  0.07709, -0.13049,  0.58643,  1.00, -0.51969,  0.07874, -0.85039,  0.00,  0.08447,  0.5918,  0.42871,  0.01
110, 74,  0.08813,  0.3623,  0.62305,  1.00, -0.51969,  0.11024, -0.85039,  0.00,  0.08447,  0.5918,  0.42871,  0.3623
111, 72,  0.12964,  0.3606,  0.59766,  1.00, -0.51969,  0.10236, -0.85039,  0.00,  0.08447,  0.5918,  0.42871,  0.3623
112, 74,  0.08813,  0.3623,  0.62305,  1.00, -0.51969,  0.11024, -0.85039,  0.00,  0.08447,  0.5918,  0.42871,  0.3623
113, 75,  0.1181,  0.54297,  0.64648,  1.00, -0.51181,  0.19685, -0.83465,  0.00,  0.08447,  0.5918,  0.42871,  0.54492
114, 76, -0.67676, -0.02519,  0.20898,  1.00, -0.72441,  0.04724,  0.68504,  0.00, -0.65381,  0.22717,  0.15601,  0.01
115, 77, -0.64941, -0.02829,  0.23804,  1.00, -0.70079,  0.04724,  0.70866,  0.00, -0.65381,  0.22717,  0.15601,  0.01
116, 78, -0.62695,  0.47266,  0.22852,  1.00,  0.06299,  0.01575,  1.00,  0.00, -0.65381,  0.22717,  0.15601,  0.46313
117, 78, -0.62695,  0.47266,  0.22852,  1.00,  0.06299,  0.01575,  1.00,  0.00, -0.65381,  0.22717,  0.15601,  0.46313
118, 77, -0.64941, -0.02829,  0.23804,  1.00, -0.70079,  0.04724,  0.70866,  0.00, -0.65381,  0.22717,  0.15601,  0.01
119, 79, -0.58838,  0.53467,  0.22424,  1.00,  0.08661,  0.01575,  1.00,  0.00, -0.65381,  0.22717,  0.15601,  0.53662
120, 80, -0.04074, -0.01238,  0.24158,  1.00, -0.83465,  0.2126, -0.50394,  0.00, -0.04279,  0.26172,  0.61035,  0.01
121, 81, -0.0603, -0.00961,  0.27515,  1.00, -0.87402,  0.22835, -0.43307,  0.00, -0.04279,  0.26172,  0.61035,  0.01
122, 82,  0.00047,  0.19348,  0.25952,  1.00, -0.89764,  0.29134,  0.33071,  0.00, -0.04279,  0.26172,  0.61035,  0.19031
123, 82,  0.00047,  0.19348,  0.25952,  1.00, -0.89764,  0.29134,  0.33071,  0.00, -0.04279,  0.26172,  0.61035,  0.19031
124, 81, -0.0603, -0.00961,  0.27515,  1.00, -0.87402,  0.22835, -0.43307,  0.00, -0.04279,  0.26172,  0.61035,  0.01
125, 83,  0.02431,  0.22095,  0.29224,  1.00, -0.87402,  0.29134,  0.3937,  0.00, -0.04279,  0.26172,  0.61035,  0.22058
126, 84, -0.07281,  0.25415,  0.53467,  1.00, -1.00,  0.05512,  0.01575,  0.00, -0.0766,  0.53076,  0.64697,  0.25293
127, 85, -0.07782, -0.09094,  0.52197,  1.00, -1.00,  0.01575,  0.00787,  0.00, -0.0766,  0.53076,  0.64697,  0.01
128, 86, -0.07245,  0.24976,  0.58398,  1.00, -1.00,  0.05512,  0.01575,  0.00, -0.0766,  0.53076,  0.64697,  0.25293
129, 84, -0.07281,  0.25415,  0.53467,  1.00, -1.00,  0.05512,  0.01575,  0.00, -0.0766,  0.53076,  0.64697,  0.25293
130, 86, -0.07245,  0.24976,  0.58398,  1.00, -1.00,  0.05512,  0.01575,  0.00, -0.0766,  0.53076,  0.64697,  0.25293
131, 87, -0.04953,  0.37817,  0.58691,  1.00, -0.98425,  0.17323,  0.02362,  0.00, -0.0766,  0.53076,  0.64697,  0.38037
132, 88,  0.05377,  0.24609,  0.41187,  1.00,  0.53543,  0.10236, -0.83465,  0.00,  0.04535,  0.3877,  0.40479,  0.24597
133, 89,  0.04929, -0.08875,  0.38477,  1.00,  0.54331,  0.06299, -0.84252,  0.00,  0.04535,  0.3877,  0.40479,  0.01
134, 90,  0.0107,  0.24597,  0.38428,  1.00,  0.53543,  0.11024, -0.83465,  0.00,  0.04535,  0.3877,  0.40479,  0.24597
135, 88,  0.05377,  0.24609,  0.41187,  1.00,  0.53543,  0.10236, -0.83465,  0.00,  0.04535,  0.3877,  0.40479,  0.24597
136, 90,  0.0107,  0.24597,  0.38428,  1.00,  0.53543,  0.11024, -0.83465,  0.00,  0.04535,  0.3877,  0.40479,  0.24597
137, 91,  0.00381,  0.36963,  0.41406,  1.00,  0.52756,  0.22835, -0.8189,  0.00,  0.04535,  0.3877,  0.40479,  0.36987
138, 92,  0.61523,  0.26685, -0.26123,  1.00,  0.53543,  0.07087,  0.84252,  0.00,  0.64795, -0.27222,  0.37524,  0.2666
139, 93,  0.64941, -0.09595, -0.27026,  1.00,  0.53543,  0.0315,  0.84252,  0.00,  0.64795, -0.27222,  0.37524,  0.01
140, 94,  0.67041,  0.26855, -0.29639,  1.00,  0.53543,  0.07874,  0.84252,  0.00,  0.64795, -0.27222,  0.37524,  0.2666
141, 92,  0.61523,  0.26685, -0.26123,  1.00,  0.53543,  0.07087,  0.84252,  0.00,  0.64795, -0.27222,  0.37524,  0.2666
142, 94,  0.67041,  0.26855, -0.29639,  1.00,  0.53543,  0.07874,  0.84252,  0.00,  0.64795, -0.27222,  0.37524,  0.2666
143, 95,  0.63867,  0.40356, -0.31177,  1.00,  0.51969,  0.2126,  0.82677,  0.00,  0.64795, -0.27222,  0.37524,  0.40088
144, 96,  0.00975,  0.37378,  0.32373,  1.00,  0.79528,  0.09449, -0.59843,  0.00,  0.02129,  0.29443,  0.1803,  0.37378
145, 97,  0.03081, -0.13477,  0.2937,  1.00,  0.79528,  0.07087, -0.59843,  0.00,  0.02129,  0.29443,  0.1803,  0.01
146, 98, -0.03041,  0.37036,  0.26978,  1.00,  0.79528,  0.09449, -0.59843,  0.00,  0.02129,  0.29443,  0.1803,  0.37378
147, 96,  0.00975,  0.37378,  0.32373,  1.00,  0.79528,  0.09449, -0.59843,  0.00,  0.02129,  0.29443,  0.1803,  0.37378
148, 98, -0.03041,  0.37036,  0.26978,  1.00,  0.79528,  0.09449, -0.59843,  0.00,  0.02129,  0.29443,  0.1803,  0.37378
149, 99, -0.04688,  0.55811,  0.30396,  1.00,  0.7874,  0.1811, -0.59055,  0.00,  0.02129,  0.29443,  0.1803,  0.56201
150, 100,  0.17969, -0.02605,  0.01707,  1.00, -0.90551,  0.05512, -0.41732,  0.00,  0.17114,  0.04855,  0.15454,  0.01
151, 101,  0.16223, -0.03004,  0.05487,  1.00, -0.92126,  0.05512, -0.3937,  0.00,  0.17114,  0.04855,  0.15454,  0.01
152, 102,  0.18103,  0.49487,  0.08392,  1.00, -0.93701,  0.01575,  0.35433,  0.00,  0.17114,  0.04855,  0.15454,  0.48633
153, 102,  0.18103,  0.49487,  0.08392,  1.00, -0.93701,  0.01575,  0.35433,  0.00,  0.17114,  0.04855,  0.15454,  0.48633
154, 101,  0.16223, -0.03004,  0.05487,  1.00, -0.92126,  0.05512, -0.3937,  0.00,  0.17114,  0.04855,  0.15454,  0.01
155, 103,  0.19653,  0.55859,  0.11951,  1.00, -0.92126,  0.01575,  0.37795,  0.00,  0.17114,  0.04855,  0.15454,  0.56348
156, 104, -0.24536,  0.33203,  0.17407,  1.00,  0.35433,  0.08661,  0.92913,  0.00, -0.21704,  0.18188,  0.43384,  0.33154
157, 105, -0.21814, -0.11963,  0.18787,  1.00,  0.35433,  0.04724,  0.93701,  0.00, -0.21704,  0.18188,  0.43384,  0.01
158, 106, -0.18176,  0.33032,  0.15002,  1.00,  0.35433,  0.08661,  0.92913,  0.00, -0.21704,  0.18188,  0.43384,  0.33154
159, 104, -0.24536,  0.33203,  0.17407,  1.00,  0.35433,  0.08661,  0.92913,  0.00, -0.21704,  0.18188,  0.43384,  0.33154
160, 106, -0.18176,  0.33032,  0.15002,  1.00,  0.35433,  0.08661,  0.92913,  0.00, -0.21704,  0.18188,  0.43384,  0.33154
161, 107, -0.21021,  0.49731,  0.12646,  1.00,  0.35433,  0.18898,  0.91339,  0.00, -0.21704,  0.18188,  0.43384,  0.49854
162, 108, -0.48779,  0.28711, -0.10999,  1.00, -0.52756,  0.13386,  0.83465,  0.00, -0.47754, -0.06677,  0.29297,  0.28857
163, 109, -0.48267, -0.104, -0.05905,  1.00, -0.52756,  0.10236,  0.84252,  0.00, -0.47754, -0.06677,  0.29297,  0.01
164, 110, -0.43213,  0.28662, -0.07471,  1.00, -0.52756,  0.13386,  0.83465,  0.00, -0.47754, -0.06677,  0.29297,  0.28857
165, 108, -0.48779,  0.28711, -0.10999,  1.00, -0.52756,  0.13386,  0.83465,  0.00, -0.47754, -0.06677,  0.29297,  0.28857
166, 110, -0.43213,  0.28662, -0.07471,  1.00, -0.52756,  0.13386,  0.83465,  0.00, -0.47754, -0.06677,  0.29297,  0.28857
167, 111, -0.43628,  0.42969, -0.117,  1.00, -0.51969,  0.22835,  0.82677,  0.00, -0.47754, -0.06677,  0.29297,  0.43408
168, 112,  0.10492,  0.21716,  0.43408,  1.00,  0.88976,  0.16535,  0.41732,  0.00,  0.13831,  0.4314,  0.33496,  0.21863
169, 113,  0.14514, -0.0788,  0.43726,  1.00,  0.89764,  0.12598,  0.41732,  0.00,  0.13831,  0.4314,  0.33496,  0.01
170, 114,  0.12561,  0.21655,  0.39014,  1.00,  0.88976,  0.17323,  0.41732,  0.00,  0.13831,  0.4314,  0.33496,  0.21863
171, 112,  0.10492,  0.21716,  0.43408,  1.00,  0.88976,  0.16535,  0.41732,  0.00,  0.13831,  0.4314,  0.33496,  0.21863
172, 114,  0.12561,  0.21655,  0.39014,  1.00,  0.88976,  0.17323,  0.41732,  0.00,  0.13831,  0.4314,  0.33496,  0.21863
173, 115,  0.09131,  0.32471,  0.38403,  1.00,  0.86614,  0.29921,  0.40157,  0.00,  0.13831,  0.4314,  0.33496,  0.32861
174, 116, -0.38721,  0.16687,  0.01231,  1.00, -0.29921,  0.09449, -0.95276,  0.00, -0.40039,  0.00686,  0.9043,  0.16602
175, 117, -0.39795, -0.05988,  0.00325,  1.00, -0.29921,  0.05512, -0.95276,  0.00, -0.40039,  0.00686,  0.9043,  0.01
176, 118, -0.42944,  0.16504,  0.02538,  1.00, -0.29921,  0.10236, -0.94488,  0.00, -0.40039,  0.00686,  0.9043,  0.16602
177, 116, -0.38721,  0.16687,  0.01231,  1.00, -0.29921,  0.09449, -0.95276,  0.00, -0.40039,  0.00686,  0.9043,  0.16602
178, 118, -0.42944,  0.16504,  0.02538,  1.00, -0.29921,  0.10236, -0.94488,  0.00, -0.40039,  0.00686,  0.9043,  0.16602
179, 119, -0.41479,  0.24927,  0.04233,  1.00, -0.29921,  0.23622, -0.92126,  0.00, -0.40039,  0.00686,  0.9043,  0.24963
180, 120, -0.16919, -0.01444, -0.27441,  1.00,  0.3937,  0.07874,  0.91339,  0.00, -0.14294, -0.28955,  0.43994,  0.01
181, 121, -0.11401, -0.01088, -0.29834,  1.00,  0.4252,  0.08661,  0.89764,  0.00, -0.14294, -0.28955,  0.43994,  0.01
182, 122, -0.17603,  0.22388, -0.29102,  1.00,  0.76378,  0.1811,  0.61417,  0.00, -0.14294, -0.28955,  0.43994,  0.21936
183, 122, -0.17603,  0.22388, -0.29102,  1.00,  0.76378,  0.1811,  0.61417,  0.00, -0.14294, -0.28955,  0.43994,  0.21936
184, 121, -0.11401, -0.01088, -0.29834,  1.00,  0.4252,  0.08661,  0.89764,  0.00, -0.14294, -0.28955,  0.43994,  0.01
